Most common words,B1 relative frequency,B2 relative frequency,Differences in relative frequency
second,0.0007212268448223505,0.0004300857641612063,0.0002911410806611442
stands,0.0006073489219556636,0.0003162395324714752,0.0002911093894841884
alone,0.0005314303067112056,0.00024034204467832115,0.0002910882620328845
ornament,0.0,0.00029094036987375717,0.00029094036987375717
window,0.0,0.00029094036987375717,0.00029094036987375717
dome,0.0,0.00029094036987375717,0.00029094036987375717
cemetery,0.0,0.00029094036987375717,0.00029094036987375717
photograph,0.0,0.00029094036987375717,0.00029094036987375717
cities,0.0,0.00029094036987375717,0.00029094036987375717
_mihrab_,0.0,0.00029094036987375717,0.00029094036987375717
