Most common words,Absolute frequency,Relative frequency
news,9.0,0.00034163376860006075
greek,9.0,0.00034163376860006075
trouble,9.0,0.00034163376860006075
puts,9.0,0.00034163376860006075
present,9.0,0.00034163376860006075
clean,9.0,0.00034163376860006075
except,9.0,0.00034163376860006075
matthew,9.0,0.00034163376860006075
prepared,9.0,0.00034163376860006075
woman,9.0,0.00034163376860006075
honour,9.0,0.00034163376860006075
mind,9.0,0.00034163376860006075
meant,9.0,0.00034163376860006075
discover,9.0,0.00034163376860006075
hallow,9.0,0.00034163376860006075
theology,9.0,0.00034163376860006075
_our,9.0,0.00034163376860006075
drink,9.0,0.00034163376860006075
bitter,9.0,0.00034163376860006075
glad,9.0,0.00034163376860006075
looks,9.0,0.00034163376860006075
eden,9.0,0.00034163376860006075
sinned,9.0,0.00034163376860006075
s_,9.0,0.00034163376860006075
honestly,9.0,0.00034163376860006075
independent,9.0,0.00034163376860006075
moral,9.0,0.00034163376860006075
general,9.0,0.00034163376860006075
music,9.0,0.00034163376860006075
path,9.0,0.00034163376860006075
study,9.0,0.00034163376860006075
food,9.0,0.00034163376860006075
freely,9.0,0.00034163376860006075
charles,9.0,0.00034163376860006075
owe,9.0,0.00034163376860006075
studies,9.0,0.00034163376860006075
_dundee,9.0,0.00034163376860006075
coloured,9.0,0.00034163376860006075
information,9.0,0.00034163376860006075
agree,9.0,0.00034163376860006075
anyone,8.0,0.0003036744609778318
9,8.0,0.0003036744609778318
helpful,8.0,0.0003036744609778318
claim,8.0,0.0003036744609778318
press,8.0,0.0003036744609778318
xi,8.0,0.0003036744609778318
purpose,8.0,0.0003036744609778318
pearl,8.0,0.0003036744609778318
clear,8.0,0.0003036744609778318
ground,8.0,0.0003036744609778318
brief,8.0,0.0003036744609778318
hand,8.0,0.0003036744609778318
sweet,8.0,0.0003036744609778318
making,8.0,0.0003036744609778318
show,8.0,0.0003036744609778318
listen,8.0,0.0003036744609778318
realise,8.0,0.0003036744609778318
absolutely,8.0,0.0003036744609778318
text,8.0,0.0003036744609778318
brother,8.0,0.0003036744609778318
thinking,8.0,0.0003036744609778318
supreme,8.0,0.0003036744609778318
looking,8.0,0.0003036744609778318
different,8.0,0.0003036744609778318
universal,8.0,0.0003036744609778318
hundred,8.0,0.0003036744609778318
bow,8.0,0.0003036744609778318
heavenly,8.0,0.0003036744609778318
sons,8.0,0.0003036744609778318
thine,8.0,0.0003036744609778318
longer,8.0,0.0003036744609778318
lives,8.0,0.0003036744609778318
imagine,8.0,0.0003036744609778318
song,8.0,0.0003036744609778318
else,8.0,0.0003036744609778318
short,8.0,0.0003036744609778318
manner,8.0,0.0003036744609778318
matt,8.0,0.0003036744609778318
reference,8.0,0.0003036744609778318
known,8.0,0.0003036744609778318
psalmist,8.0,0.0003036744609778318
justice,8.0,0.0003036744609778318
young,8.0,0.0003036744609778318
turn,8.0,0.0003036744609778318
talks,8.0,0.0003036744609778318
stand,8.0,0.0003036744609778318
tried,8.0,0.0003036744609778318
kings,8.0,0.0003036744609778318
apostle,8.0,0.0003036744609778318
version,8.0,0.0003036744609778318
thomas,8.0,0.0003036744609778318
fathers,8.0,0.0003036744609778318
forget,8.0,0.0003036744609778318
parents,8.0,0.0003036744609778318
waters,8.0,0.0003036744609778318
realised,8.0,0.0003036744609778318
verse,8.0,0.0003036744609778318
translation,8.0,0.0003036744609778318
rule,8.0,0.0003036744609778318
break,8.0,0.0003036744609778318
thousand,8.0,0.0003036744609778318
giving,8.0,0.0003036744609778318
blood,8.0,0.0003036744609778318
sentence,8.0,0.0003036744609778318
services,8.0,0.0003036744609778318
heard,8.0,0.0003036744609778318
grief,8.0,0.0003036744609778318
loss,8.0,0.0003036744609778318
empire,8.0,0.0003036744609778318
sight,8.0,0.0003036744609778318
among,8.0,0.0003036744609778318
add,8.0,0.0003036744609778318
teachers,8.0,0.0003036744609778318
charge,8.0,0.0003036744609778318
effective,8.0,0.0003036744609778318
freedom,8.0,0.0003036744609778318
conflict,8.0,0.0003036744609778318
miss,8.0,0.0003036744609778318
